RATE,GROSS AMT,PCS,Style,Discount/Charges
616.56,617,1,MEN5004,0.071312804
616.56,617,1,MEN5004,0.071312804
616.56,617,1,MEN5004,0.071312804
616.56,617,1,MEN5009,0.071312804
616.56,617,1,MEN5011,0.071312804
649.03,649,1,MEN5025,-0.004622496
616.56,617,1,MEN5015,0.071312804
649.03,649,1,MEN5022,-0.004622496
649.03,649,1,MEN5014,-0.004622496
649.03,649,1,MEN5013,-0.004622496
649.03,649,1,MEN5013,-0.004622496
616.56,617,1,MEN5003,0.071312804
616.56,617,1,MEN5003,0.071312804
649.03,649,1,MEN5028,-0.004622496
649.03,649,1,MEN5028,-0.004622496
649.03,649,1,MEN5006,-0.004622496
324.35,324,1,BL097,-0.108024691
421.85,422,1,BL104,0.035545024
421.85,422,1,BL104,0.035545024
389.35,389,1,BL103,-0.089974293
584.35,584,1,J0001,-0.059931507
421.85,422,1,JNE3660,0.035545024
421.85,422,1,JNE3647,0.035545024
421.85,422,1,J0116,0.035545024
454.35,454,1,J0165,-0.077092511
454.35,454,1,JNE3656,-0.077092511
519.35,519,1,JNE3673,-0.06743738
486.85,487,1,JNE3649,0.030800821
454.35,454,1,JNE3653,-0.077092511
454.35,454,1,JNE3651,-0.077092511
454.35,454,1,JNE3712,-0.077092511
531.25,531,1,J0036,-0.047080979
421.85,422,1,JNE3658,0.035545024
421.85,422,1,JNE3652,0.035545024
356.85,357,1,JNE3643,0.042016807
356.85,357,1,JNE3643,0.042016807
486.85,487,1,JNE3672,0.030800821
486.85,487,1,JNE3674,0.030800821
519.35,519,1,JNE3670,-0.06743738
421.85,422,1,J0122,0.035545024
421.85,422,1,J0119,0.035545024
421.85,422,1,JNE3421,0.035545024
519.35,519,1,JNE3467,-0.06743738
746.85,747,1,JNE3030,0.020080321
421.85,422,1,JNE3657,0.035545024
454.35,454,1,JNE3667,-0.077092511
1071.85,1072,1,J0092,0.013992537
389.35,389,1,JNE3659,-0.089974293
649.35,649,1,J0214,-0.053929122
584.35,584,1,J0201,-0.059931507
584.35,584,1,J0197,-0.059931507
584.35,584,1,J0213,-0.059931507
454.35,454,1,JNE3640,-0.077092511
1429.35,1429,1,J0233,-0.024492652
1494.35,1494,1,J0237,-0.023427041
1201.85,1202,1,J0234,0.012479201
389.35,389,1,JNE3535,-0.089974293
454.35,454,1,JNE3497,-0.077092511
421.85,422,1,JNE1525,0.035545024
421.85,422,1,JNE2305,0.035545024
421.85,422,1,JNE3365,0.035545024
551.85,552,1,JNE2270,0.027173913
941.85,942,1,SET094,0.015923567
486.85,487,1,JNE2049,0.030800821
291.85,292,1,CH202,0.051369863
356.85,357,1,BTM029,0.042016807
356.85,357,1,BTM008,0.042016807
356.85,357,1,BTM035,0.042016807
291.85,292,1,CH209,0.051369863
291.85,292,1,CH208,0.051369863
291.85,292,1,CH207,0.051369863
291.85,292,1,CH205,0.051369863
291.85,292,1,CH213,0.051369863
519.35,519,1,J0024,-0.06743738
1071.85,1072,1,J0109,0.013992537
1071.85,1072,1,J0109,0.013992537
1071.85,1072,1,J0109,0.013992537
1071.85,1072,1,J0109,0.013992537
1071.85,1072,1,J0109,0.013992537
1071.85,1072,1,J0109,0.013992537
1071.85,1072,1,J0109,0.013992537
1169.35,1169,1,J0110,-0.02994012
1169.35,1169,1,J0110,-0.02994012
1169.35,1169,1,J0110,-0.02994012
1169.35,1169,1,J0110,-0.02994012
1169.35,1169,1,J0110,-0.02994012
1169.35,1169,1,J0110,-0.02994012
1169.35,1169,1,J0110,-0.02994012
1104.35,1104,1,J0127,-0.031702899
1104.35,1104,1,J0127,-0.031702899
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0281,-0.023427041
1494.35,1494,1,J0285,-0.023427041
1494.35,1494,1,J0285,-0.023427041
1494.35,1494,1,J0285,-0.023427041
1494.35,1494,1,J0285,-0.023427041
1494.35,1494,1,J0285,-0.023427041
1494.35,1494,1,J0285,-0.023427041
1494.35,1494,1,J0285,-0.023427041
454.35,454,1,JNE3615,-0.077092511
454.35,454,1,JNE3615,-0.077092511
